,,,,,,,,
Morgenmad: Proteinsmoothie & Æg,,,, ,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Ris,64,4,1,49,225,,,
Total,592,49,16,74,670,,,
,,,,,,,,
Snack: Skyr med Banan & Mandler, Banan & Mandler,,,,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Skyr 0.2%,175,19,0,7,115,,,
Honning,10,0,0,8,34,,,
Mandler,20,4,8,6,110,,,
Banan,93,1,0,18,76,,,
Total,205,25,8,39,335,,,
,,,,,,,,
Morgenmad: Skyr,,,, ,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Skyr Natural,227,25,0,9,145,,,
Musli,96,10,5,63,357,,,
Æg (1 Æg: 60-70 g),93,12,9,1,168,,,
Total,417,46,4,14,8,72,0,670
,,,,,,,,
Frokost: Rugbrød med pålæg,,,,,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Protein Rugbrød (1 Skive: 40-50g),178,30,10,37,392,,,
Kød Pålæg (kylling-okse-skinke),175,32,4,2,212,,,
Smør,9,0,7,0,66,,,
Total,362,63,21,39,670,,,
,,,,,,,,
Frokost: Køg og Kartofler,,,,,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Kartofler,329,6,1,60,269,,,
Kød (okse-kylling-svin),141,39,5,0,215,,,
Grøntsager,295,6,0,21,103,,,
Olie,10,0,10,0,83,,,
Total,775,52,16,81,670,,,
,,,,,,,,
Aftensmad: Køg og Ris,,,,,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Ris,74,5,0,58,261,,,
Kød (okse-kylling-svin),170,48,6,0,223,,,
Grøntsager,297,6,0,21,104,,,
Olie,10,0,10,0,83,,,
Total,552,58,17,79,670,2966,,
,,,,,,,,
Snack: Mandler og frugt,,,,,,,,
ingredienser,Mængde,Protein,Fedt,Kulhydrat,Kalorier,,,
Mandler,12,3,6,3,72,,,
Frugt,296,2,1,39,154,,,
Whey Proteinpulver (Shake),27,22,2,1,109,,,
Total,335,26,10,42,335,,,
,,,,,,,,
Morgenmad: Skyr Boosteren + Shake + Æg,,,, ,,,,
